name,type,Category,die,tier,range,true_pp,tags,effects
Explosion,Normal,Physical,8d6,3,Self Burst,2,Explosive,"The user of this move has their HP reduced to 0 after using it, instantly knocking them out."
Giga Impact,Normal,Physical,5d6,5,Near Beam Charge,2,Contact,"After using this move, the user must spend five minutes recharging, and are unable to take actions."
Hi Jump Kick,Fighting,Physical,5d6,5,Near Charge,4,Contact,"If this move fails to damage the target, the user takes 3d6 recoil damage."
Megahorn,Bug,Physical,4d6,5,Near Charge,4,"Contact, Inaccurate",
Outrage,Dragon,Physical,5d6,4,Close,4,Contact,"After using this move, the user flies into a rage, and must use it again during their next turn if there is an eligible target. Otherwise, they become inflicted with the Confused status effect."
Close Combat,Fighting,Physical,4d6,4,Close,4,Contact,"After using this move, the user is inflicted with the Wide Open status effect."
Flare Blitz,Fire,Physical,4d6,5,Near Charge,6,Contact,"After using this move, the user takes 2d6 recoil damage. Roll a chance die- on a 6, the target is inflicted with the Burned status condition."
Brave Bird,Flying,Physical,4d6,5,Near Charge,6,Contact,"After using this move, the user takes 2d6 recoil damage."
Power Whip,Grass,Physical,4d6,5,Close,4,"Contact, Inaccurate",
Double Edge,Normal,Physical,4d6,5,Near Charge,6,Contact,"After using this move, the user takes 2d6 recoil damage."
Thrash,Normal,Physical,4d6,4,Close,4,Contact,"After using this move, the user flies into a rage, and must use it again during their next turn if there is an eligible target. Otherwise, they become inflicted with the Confused status effect."
Gunk Shot,Poison,Physical,4d6,5,Near Shot,2,"Inaccurate, Projectile","Roll a chance die- on a 5 or a 6, the target is inflicted with the Poisoned status condition."
Cross Chop,Fighting,Physical,4d6,5,Close,2,"Contact, Wicked",
Dynamicpunch,Fighting,Physical,4d6,5,Close,2,"Contact, Inaccurate, Punch",The target is inflicted with the Confused status effect.
Earthquake,Ground,Physical,4d6,5,Room Except Self,4,,
Dragon Rush,Dragon,Physical,4d6,5,Near Charge,4,Contact,"Roll a chance die- on a 5 or a 6, the target is inflicted with the Flinching status effect."
Stone Edge,Rock,Physical,4d6,5,Near Shot,2,"Wicked, Inaccurate",
Iron Tail,Steel,Physical,4d6,4,Close,6,"Contact, Inaccurate","Roll a chance die- on a 5 or a 6, the target is inflicted with the Off Guard status effect."
Crabhammer,Water,Physical,4d6,4,Close,4,"Contact, Wicked",
Wild Charge,Electric,Physical,3d6,4,Near Charge,6,Contact,"After using this move, the user takes 2d6 recoil damage. Roll a chance die- on a 6, the target is inflicted with the Paralyzed status condition."
Play Rough,Fairy,Physical,3d6,3,Close,4,Contact,"Roll a chance die- on a 6, the target is inflicted with the Weakened status effect."
Aqua Tail,Water,Physical,3d6,3,Close,4,Contact,
Icicle Crash,Ice,Physical,3d6,4,Near Shot,4,Projectile,"Roll a chance die- on a 5 or 6, the target is inflicted with the Flinching status effect."
Body Slam,Normal,Physical,3d6,4,Near Charge,6,Contact,"Roll a chance die- on a 5 or 6, the target is inflicted with the Paralyzed status condition."
Leech Life,Bug,Physical,3d6,4,Close,4,"Contact, Draining",
X Scissor,Bug,Physical,3d6,3,Close,6,"Contact, Slicing",
Crunch,Dark,Physical,3d6,3,Close,6,Contact,"Roll a chance die- on a 6, the target is inflicted with the Off Guard status effect."
Dragon Claw,Dragon,Physical,3d6,3,Close,6,Contact,
Drill Peck,Flying,Physical,3d6,3,Close,8,Contact,
Seed Bomb,Grass,Physical,3d6,5,Near Burst,6,"Contact, Explosive, Projectile",
Extremespeed,Normal,Physical,3d6,4,Near Charge,2,Contact,The user is moved to the top of the initiative order at the start of the next round.
Hyper Fang,Normal,Physical,3d6,3,Close,6,"Contact, Biting","Roll a chance die- on a 6, the target is inflicted with the Flinching status effect."
Strength,Normal,Physical,3d6,3,Close,6,Contact,
Poison Jab,Poison,Physical,3d6,3,Close,8,"Contact, Punch","Roll a chance die- on a 5 or 6, the target is inflicted with the Poisoned status condition."
Zen Headbutt,Psychic,Physical,3d6,4,Near Charge,6,Contact,"Roll a chance die- on a 6, the target is inflicted with the Flinching status effect."
Iron Head,Steel,Physical,3d6,4,Near Charge,6,Contact,"Roll a chance die- on a 6, the target is inflicted with the Flinching status effect."
Waterfall,Water,Physical,3d6,4,Near Charge,6,Contact,"Roll a chance die- on a 6, the target is inflicted with the Flinching status effect."
Thunderpunch,Electric,Physical,3d6,3,Close,6,"Contact, Punch","Roll a chance die- on a 6, the target is inflicted with the Paralyzed status condition."
Brick Break,Fighting,Physical,3d6,3,Close,6,Contact,"Ignores the effects of Light Screen, Reflect, and Protect on the target, and also removes them."
Drain Punch,Fighting,Physical,3d6,3,Close,4,"Contact, Punch, Draining",
Mystical Fire,Fire,Special,3d6,4,Near Shot,2,,The target is inflicted with the Weakened status condition.
Fire Punch,Fire,Physical,3d6,3,Close,6,"Contact, Punch","Roll a chance die- on a 6, the target is inflicted with the Burned status condition."
Ice Punch,Ice,Physical,3d6,3,Close,6,"Contact, Punch","Roll a chance die- on a 6, the target is inflicted with the Frostbite status condition."
Spirit Break,Fairy,Physical,3d6,3,Close,4,,The target is inflicted with the Weakened status condition.
Rock Slide,Rock,Physical,3d6,4,Near Shot,4,"Inaccurate, Projectile","Roll a chance die- on a 5 or 6, the target is inflicted with the Flinching status effect."
Night Slash,Dark,Physical,3d6,3,Close,6,"Contact, Slicing, Wicked",
Sucker Punch,Dark,Physical,3d6,2,Close,2,Contact,"This move is not used immediately. Instead, using it ""prepares"" until the beginning of your next turn; the move is then used on a Close target when they use a Physical or Special move during their turn."
Shadow Claw,Ghost,Physical,3d6,3,Close,6,"Contact, Wicked",
Dizzy Punch,Normal,Physical,3d6,3,Close,4,"Contact, Punch","Roll a chance die- on a 5 or 6, the target is inflicted with the Confused status effect."
Headbutt,Normal,Physical,3d6,4,Near Charge,6,Contact,"Roll a chance die- on a 5 or 6, the target is inflicted with the Flinching status effect."
Slash,Normal,Physical,3d6,3,Close,8,"Contact, Slicing, Wicked",
Steel Wing,Steel,Physical,3d6,4,Near Charge,10,Contact,"Roll a chance die- on a 6, the user is inflicted with the Bolstered status effect."
Knock Off,Dark,Physical,3d6,2,Close,8,Contact,"If the target is has a held item (or an item in their one-item inventory), it is knocked off of them, and thrown to the floor."
U Turn,Bug,Physical,2d6,3,Close,8,Contact,"After using this move, the user may move a distance up to Near."
Bug Bite,Bug,Physical,2d6,2,Close,8,"Contact, Biting","If the target has an item in their inventory that restores Belly or has ""Berry"" in its name, the user takes that item and eats it, immediately receiving its benefits. If this is used against a target with a team inventory, the first eligible item in alphabetical order is taken from the bag."
Bite,Dark,Physical,2d6,2,Close,10,"Contact, Biting","Roll a chance die- on a 6, the target is inflicted with the Flinching status condition."
Feint Attack,Dark,Physical,2d6,2,Close,8,"Contact, Hawkeye",
Thief,Dark,Physical,2d6,2,Close,10,Contact,"If the user has room in their inventory, they take the first item in alphabetical order from the targets inventory and place it in theirs."
Spark,Electric,Physical,2d6,2,Close,8,Contact,"Roll a chance die- on a 5 or 6, the target is inflicted with the Paralyzed status condition."
Fly,Flying,Physical,2d6,3,Close,6,Contact,"After using this move, the user may move a distance up to Near."
Aerial Ace,Flying,Physical,2d6,2,Close,8,"Contact, Hawkeye, Slicing",
Wing Attack,Flying,Physical,2d6,2,Near Charge,10,Contact,
Dig,Ground,Physical,2d6,3,Close,4,Contact,"After using this move, the user may move a distance up to Near."
Bulldoze,Ground,Physical,2d6,4,Near Burst,8,,All targets are moved down one place in the initiative order at the start of the next round.
Avalanche,Ice,Physical,2d6,3,Near Burst,4,,"If the user took damage earlier in this round, this move rolls an additional 2d6 damage."
Facade,Normal,Physical,2d6,3,Close,8,Contact,"If the user has a status condition, this move rolls an additional 2d6 damage."
Horn Attack,Normal,Physical,2d6,3,Close,10,Contact,
Stomp,Normal,Physical,2d6,3,Close,8,"Contact, Hawkeye",
Acrobatics,Flying,Physical,2d6,3,Close,6,Contact,"If the user has no held item, this move rolls an additional 1d6 damage."
Razor Leaf,Grass,Physical,2d6,4,Near Shot,10,"Slicing, Wicked",
Karate Chop,Fighting,Physical,2d6,1,Close,10,"Contact, Wicked",
Flame Charge,Fire,Physical,2d6,3,Near Charge,8,Contact,The user moves up one place in the initiative order.
Dual Wingbeat,Flying,Physical,2d6,3,Close,2,"Contact, Rapid Strike 2",
Bonemerang,Ground,Physical,2d6,3,Near Shot,4,Rapid Strike 2,
Cut,Normal,Physical,2d6,2,Close,10,"Contact, Slicing",
Rapid Spin,Normal,Physical,2d6,3,Self Burst,10,Contact,Removes any traps and harmful debris from the surrounding floor.
Rock Throw,Rock,Physical,2d6,3,Near Shot,6,Projectile,
Metal Claw,Steel,Physical,2d6,2,Close,10,Contact,"Roll a chance die- on a 6, the user is inflicted with the Bolstered status effect."
Vine Whip,Grass,Physical,2d6,2,Close,10,Contact,
Pursuit,Dark,Physical,1d6,1,Close,8,Contact,"This move is not used immediately. Instead, using it ""prepares"" until the beginning of your next turn; the user can then choose to use the move on a Close target when they attempt to move out of Close range during their turn."
Mach Punch,Fighting,Physical,1d6,2,Near Charge,10,Contact,The user moves up one place in the initiative order.
Rock Smash,Fighting,Physical,1d6,1,Close,6,Contact,"Roll a chance die- on a 4, 5 or 6, the target is inflicted with the Off Guard status condition."
Ice Shard,Ice,Physical,1d6,2,Near Shot,10,Projectile,
Accelerock,Rock,Physical,1d6,2,Near Charge,10,Contact,The user moves up one place in the initiative order.
Pay Day,Normal,Physical,1d6,3,Near Shot,8,Projectile,The user throws Poke at the target- and may spend 250p to increase this move's damage roll by an additional 2d6 damage.
Quick Attack,Normal,Physical,1d6,2,Near Charge,10,Contact,The user moves up one place in the initiative order.
Scratch,Normal,Physical,1d6,1,Close,10,Contact,
Tackle,Normal,Physical,1d6,1,Close,10,Contact,
Bullet Punch,Steel,Physical,1d6,2,Near Charge,10,"Contact, Punching",The user moves up one place in the initiative order.
Aqua Jet,Water,Physical,1d6,2,Near Charge,8,Contact,The user moves up one place in the initiative order.
Peck,Flying,Physical,1d6,1,Close,10,Contact,
Double Kick,Fighting,Physical,2d6,3,Close,10,"Contact, Rapid Strike 2",
Astonish,Ghost,Physical,1d6,1,Close,6,Contact,"Roll a chance die- on a 5 or 6, the target is inflicted with the Flinching status effect."
Lick,Ghost,Physical,1d6,1,Close,10,Contact,"Roll a chance die- on a 5 or 6, the target is inflicted with the Paralyzed status condition."
Rollout,Rock,Physical,1d6,2,Near Charge,8,Contact,"For each consecutive turn this move is used against a different target, its damage roll increases by 1d6 damage."
Pin Missile,Bug,Physical,1d6,3,Near Shot,8,"Projectile, Multi-Strike",
Icicle Spear,Ice,Physical,1d6,3,Near Shot,10,"Projectile, Multi-Strike",
Rock Blast,Rock,Physical,1d6,3,Near Shot,10,"Projectile, Multi-Strike",
Rage,Normal,Physical,1d6,2,Close,8,Contact,"The user gains the ""Rage"" status effect."
Fury Strikes,Normal,Physical,1d6,3,Close,6,"Contract, Multi-Strike",
Double Slap,Normal,Physical,1d6,2,Close,4,"Contact, Rapid Strike 2",
Wrap,Normal,Physical,1d6,2,Close,8,Contact,"The user is inflicted with the Wrapping status condition, and the target is inflicted with the Wrapped status condition."
Poison Sting,Poison,Physical,1d6,1,Near Shot,10,Projectile,"Roll a chance die- on a 5 or a 6, the target is inflicted with the Poisoned status condition."
Counter,Fighting,Physical,-,1,Close,8,Contact,"This move is not used immediately. Instead, using it ""prepares"" until the beginning of your next turn. Whenever this Pokemon is struck by a move with the Contact tag, they counterattack and inflict twice as much damage as they just took to the one that attacked them."
Low Kick,Fighting,Physical,1d6,2,Close,8,Contact,This move inflicts additional damage equal to the targets CON modifier.
Reversal,Fighting,Physical,1d6,3,Close,6,Contact,"If the user took damage earlier in this round, this move rolls an additional 2d6 damage."
Seismic Toss,Fighting,Physical,1d6,4,"Close, then Near Shot",8,"Contact, then Projectile","The user picks up an adjacent target, and throws them within Near distance. The target, and another target they may hit with thrown, both take damage from this move."
Return,Normal,Physical,1d6,3,Close,8,Contact,The damage roll of this move increases by an additonal 1d6 for each ally adjacent to the user.
Gyro Ball,Steel,Physical,1d6,3,Close,6,Contact,The damage roll of this move increases by an additional 1d6 for each turn the user is below the target in the initiative order.
Magnitude,Ground,Physical,-,4,Room Except Self,10,,Roll a chance die. This rolls an amount of d6's for damage equal to the result of the chance die roll.
Stealth Rock,Normal,Physical,-,2,Near Burst,4,Projectile,"Sets a trap- floating stones hover in the area this move effects, inflicting 1d6 damage for each meter a Pokemon travels in it. This damage is rolled as Super Effective if the victim is weak to Rock-type moves."
Hyper Beam,Normal,Special,5d6,5,Near Beam,2,,"After using this move, the user must spend five minutes recharging, and are unable to take actions."
Zap Cannon,Electric,Special,4d6,5,Near Beam,2,Inaccurate,The target(s) is/are inflicted with the Paralyzed status condition.
Focus Blast,Fighting,Special,4d6,5,Near Burst,2,Inaccurate,"Roll a chance die- on a 6, the target(s) is/are inflicted with the Off Guard status effect."
Petal Dance,Grass,Special,4d6,5,Self Burst,4,,"After using this move, the user flies into a rage, and must use it again during their next turn if there is an eligible target. Otherwise, they become inflicted with the Confused status effect."
Solar Beam,Grass,Special,4d6,5,Beam,4,,"Unless the current weather is ""Sunny"", after using this move, the user must spend their next turn recharging, losing their action."
Future Sight,Psychic,Special,4d6,4,Near Shot,4,,Roll a chance die. The result of the chance die is the amount of turns before the target of this move takes damage from it. This move fail to come into effect if the user is Knocked Out prior to the damage going out.
Thunder,Electric,Special,4d6,5,Near Shot,4,Inaccurate,"This move is not considered to be Inaccurate if the current weather is ""Rain"". Roll a chance die- on a 5 or a 6, the target in inflicted with the Paralyzed status condition."
Fire Blast,Fire,Special,4d6,5,Near Burst,2,Inaccurate,"Roll a chance die. On a 5 or a 6, the target(s) is/are inflicted with the Burned status condition."
Hurricane,Flying,Special,4d6,5,Near Burst,4,"Windy, Inaccurate","This move is not considered to be Inaccurate if the current weather is ""Rain"". Roll a chance die- on a 5 or a 6, the target(s) is/are inflicted with the Confused status condition."
Blizzard,Ice,Special,4d6,5,Room Choice,2,Inaccurate,"This move is not considered to be Inaccurate if the current weather is ""Snowy""."
Hydro Pump,Water,Special,4d6,5,Near Beam,2,Inaccurate,
